NAME	DESCRIPTION	Fabp_1	Fabp_2	Fabp_3	Fabp_4	KrasG12D_1	KrasG12D_2	KrasG12D_3	KrasG12D_4
ENSMUSG00000054200	NA	637.1426657	298.8810054	277.800702	364.3688955	529.083987	675.1686225	500.1457136	728.4283494
ENSMUSG00000054203	NA	2.730695651	17.26131161	8.023732771	15.98232286	11.81975872	8.565129644	10.82805579	9.036296925
ENSMUSG00000054204	NA	3.794917359	6.96376151	16.09255289	0	0	0	0	0
ENSMUSG00000054206	NA	3.724890425	5.32573835	0	1.82743305	3.18347214	3.706166153	2.519126225	3.719860792
ENSMUSG00000054215	NA	0	0	2.255734154	2.665596351	19.52761108	0	2.602399793	0
ENSMUSG00000054226	NA	268.6503669	239.0155007	253.5855253	194.7568805	213.4747357	215.5466181	196.9909378	250.6520488
ENSMUSG00000054237	NA	64.83323137	133.6977147	95.91355263	83.67798326	86.5506745	104.2202655	81.32146689	89.74865818
ENSMUSG00000054252	NA	239.4379989	208.2624393	114.8065227	186.6426063	132.3574424	37.52818912	149.8932137	156.7933129
ENSMUSG00000054256	NA	16.0802768	21.91713852	17.36748097	18.49925945	5.613180277	4.906103163	4.384085059	14.0210323
ENSMUSG00000054263	NA	32.42291527	18.28941192	26.10113745	10.38315073	13.26264424	11.72202899	17.93103176	7.074813533
ENSMUSG00000054277	NA	1455.718158	1592.799752	2066.43981	1577.494093	2828.442405	2261.776688	3421.367076	2787.464071
ENSMUSG00000054280	NA	226.8568271	965.4044664	242.013212	1078.568173	1735.102989	1451.363111	289.9038808	225.8309318
ENSMUSG00000054293	NA	0.894510831	6.099656356	2.217263383	3.606671203	2.151662325	0.95963852	1.339240055	2.78473742
ENSMUSG00000054302	NA	510.5730428	478.4705715	486.6945391	456.3106343	672.2867331	559.5002253	647.3655911	564.4125832
ENSMUSG00000054304	NA	2.683061805	2.676099009	5.65068705	0.923880962	4.253964666	0	1.294369423	0.934544641
ENSMUSG00000054309	NA	531.1706136	517.8158325	499.7843582	563.6896861	445.469145	482.9343396	317.9623083	392.6891342
ENSMUSG00000054312	NA	944.3371907	1086.978742	874.6686005	691.1633795	768.653812	960.8811634	781.6889932	805.613523
ENSMUSG00000054321	NA	75.77753549	79.77190446	91.63939938	130.90077	191.3845035	148.8685411	120.2354074	121.7484147
ENSMUSG00000054325	NA	0	0.880752224	0	0.906563743	0	1.866380543	8.866432872	3.66961139
ENSMUSG00000054342	NA	90.33109432	97.16685661	66.43597809	25.47483216	102.204423	92.24388174	35.89079337	114.0451447
ENSMUSG00000054362	NA	0	0	0	0.906563743	0	0	0	0
ENSMUSG00000054364	NA	2998.432322	3826.829345	5677.099197	6252.279492	10485.43917	8789.442095	14197.43496	10795.11407
ENSMUSG00000054379	NA	0	0.860086221	0	0	2.194669298	0	0	0
ENSMUSG00000054381	NA	220.7917935	213.421748	191.2748316	200.4884846	220.0088275	181.4955361	250.5123325	244.5831728
ENSMUSG00000054383	NA	1.878180645	1.781330794	1.13944059	3.662725605	4.223719796	2.786046386	1.260815655	0.926804614
ENSMUSG00000054385	NA	119.7647012	104.3687452	224.8894581	195.4619874	172.8204447	132.5650923	80.0129183	112.105368
ENSMUSG00000054387	NA	633.855443	443.6655683	743.0216323	758.4080838	474.1749407	537.0193116	454.0653088	550.8158741
ENSMUSG00000054400	NA	56.75417397	63.05776013	67.10162796	57.35064998	59.04642251	73.36772922	71.66619137	68.19285889
ENSMUSG00000054404	NA	327.0140747	182.0874136	380.5920349	387.1208595	623.2848089	616.3592538	469.8348267	37.42510481
ENSMUSG00000054405	NA	861.7501721	835.8964181	787.4357439	784.3468808	762.210962	1007.951138	1051.411009	1129.388976
ENSMUSG00000054406	NA	0.439096937	0	0	1.935540315	0	0	0	0
ENSMUSG00000054408	NA	1494.013182	1717.580567	1473.285444	1727.096303	1406.598521	1483.551167	1353.401575	1593.627081
ENSMUSG00000054409	NA	0.921536037	0	0	0	0	0.949340836	0	0
ENSMUSG00000054414	NA	894.5469415	861.6323066	938.1313461	1027.252446	894.836214	915.722119	1070.940215	873.2944391
ENSMUSG00000054417	NA	265.6388595	21.76393253	6.816117983	12.58658739	0	1.890636014	1.340470325	4.567939864
ENSMUSG00000054422	NA	16.48050658	4.340619352	6.866540119	3.618079489	5.389119971	2.828705257	1.329478184	4.497694206
ENSMUSG00000054423	NA	22.52858261	6.188609703	12.66795847	8.14914424	6.404723442	9.303464541	18.9277648	15.67638388
ENSMUSG00000054428	NA	3537.512942	4349.691047	3616.816169	3159.221246	2599.794427	3350.760194	1693.715543	3154.612623
ENSMUSG00000054434	NA	8.268545736	36.29105233	12.44915013	12.74752148	35.92819684	7.907393612	6.520014671	9.104406359
ENSMUSG00000054435	NA	53.17386944	194.644802	177.1764446	110.3298619	119.3866515	150.011642	111.9930352	29.23336373
ENSMUSG00000054452	NA	6128.286024	5295.362375	4724.274922	4581.196207	4725.607935	4590.286089	4241.525665	4370.455198
ENSMUSG00000054453	NA	2.804984812	3.497781813	4.62288644	5.399222666	50.1008031	15.10960279	66.99132121	25.43302066
ENSMUSG00000054455	NA	1432.405825	1642.220716	1495.540919	1468.771977	2044.115648	2177.219389	2559.931447	2278.160508
ENSMUSG00000054469	NA	1633.680546	1578.980701	1788.494107	1333.969486	1495.213425	1934.171564	1268.636872	1563.294897
ENSMUSG00000054474	NA	286.8763024	223.0438284	257.1660222	480.4472478	459.0757524	392.6496586	1027.634879	479.5666498
ENSMUSG00000054477	NA	0	0	0	2.719691228	0	0	0	0
ENSMUSG00000054484	NA	188.7625481	387.0206126	344.3629211	120.6255388	333.5293102	584.6274151	461.0153837	376.7523839
ENSMUSG00000054499	NA	575.262895	800.0631653	827.4635381	944.7492548	1359.633847	1216.652746	1257.546239	1790.298283
ENSMUSG00000054509	NA	1751.47932	1308.272859	2312.376006	1336.763847	2311.24346	2327.600445	2029.078449	1594.156894
ENSMUSG00000054517	NA	142.2363567	167.2281374	135.3139175	176.2466065	194.0994636	185.7577834	134.3938054	175.4775934
ENSMUSG00000054519	NA	49.92767509	61.99470774	64.55639769	54.7584863	36.64491679	47.76459192	29.43112993	26.5330569
ENSMUSG00000054520	NA	110.6089907	139.4745419	134.1098502	153.1919455	76.7672759	83.8493516	83.84122242	86.85884376
ENSMUSG00000054523	NA	16.83855972	23.39101727	14.68972115	8.299669798	1.386759199	18.98676186	0	8.371068713
ENSMUSG00000054537	NA	0	0	0	0	0	0.937639423	0	0.91304972
ENSMUSG00000054545	NA	3200.585119	8171.144234	6972.967269	1642.71009	2071.301549	4888.145405	764.0876872	1770.673952
ENSMUSG00000054555	NA	1.230323625	13.93104319	2.273422678	2.395575637	1.622453007	3.082539955	2.521678717	0
ENSMUSG00000054568	NA	3.643381481	0	3.428579574	0	2.140629997	2.823738604	5.198555819	4.594547103
ENSMUSG00000054580	NA	3.118722999	2.13509627	18.36374072	2.021718298	13.29826066	21.30943089	4.865628539	3.992202837
ENSMUSG00000054582	NA	2.363848768	2.185974494	1.865261634	5.959703855	1.750759071	14.44294882	0.449712885	4.70299381
ENSMUSG00000054589	NA	3.754499963	0.888231536	1.165078245	2.720277086	0	0	1.237590869	0
ENSMUSG00000054594	NA	0	0	1.149675064	0	0	0	0	0
ENSMUSG00000054598	NA	0	0	0	1.813127485	0	0	0	0
ENSMUSG00000054604	NA	1733.266484	1665.651382	1756.881016	2313.032441	2551.192923	2271.548949	3026.648505	2588.270924
ENSMUSG00000054611	NA	1657.197965	1238.230599	1953.08012	1819.148208	2479.923176	2531.471387	2792.234746	2475.439714
ENSMUSG00000054612	NA	26.62133834	28.44368003	20.51550605	32.05179584	8.593135307	17.73738328	11.28046598	15.88199417
ENSMUSG00000054619	NA	2697.668327	2686.881312	2089.588335	2068.902899	1934.158748	1601.407368	1875.92631	2738.519204
ENSMUSG00000054626	NA	1.098459331	2.083094765	1.964002803	2.111860845	0.548000777	2.763442233	3.349354827	0.99712155
ENSMUSG00000054630	NA	1204.398461	1390.643106	1007.98016	286.6090372	94.49378612	226.5675669	20.03596508	50.40265633
ENSMUSG00000054640	NA	778.2644371	596.0136643	684.7262797	220.181196	521.1524358	914.7268669	127.0689791	506.0876555
ENSMUSG00000054648	NA	178.9703513	179.0978796	192.7619904	161.8518019	186.9500947	168.102301	246.029286	187.2824233
