"","GENEID","Fabp_1","Fabp_2","Fabp_3","Fabp_4","KrasG12D_1","KrasG12D_2","KrasG12D_3","KrasG12D_4"
"17","SPIB",114.9900957903,153.191123767682,209.767812040574,254.547977106002,232.420133282785,45.3948131125963,198.192137829791,133.66386857706
"18","STEAP4",86.3123795196072,161.615422647523,237.291597510798,1187.04699276085,2691.12601191737,659.028511010458,3545.61247349032,643.675085444098
"19","NIPSNAP3B",864.416675875136,1260.55560182295,1106.56748470458,963.041184313415,1017.23644655553,1411.38102771663,1026.35076531849,1053.93307164637
"20","GZMB",130.59587210498,282.558907250706,281.185347498868,74.8008353126147,85.0526813061262,250.33224884034,41.8169147689829,35.8720572784813
"21","PPFIBP1",386.787545660914,339.105722344716,398.645578783425,470.494009547631,676.806861278889,629.339250761792,730.301945408729,650.962504702906
"22","TRAF4",943.954558227873,737.923784541221,693.258206349523,913.612484602964,713.496481618434,675.855158160256,935.393484773648,907.239885724
"23","DHX58",594.923548715998,276.014733617574,451.445885000162,415.525810633148,662.486996843517,636.88438388674,514.428569884435,119.085838924657
"24","ARRB1",1735.29980707129,1085.70232581727,1252.36519817522,1027.2986523411,1176.09273521295,1168.97987096451,1184.63270046163,1234.34411302087
"25","ALOX15",6.73258951791567,112.733933835431,37.4462084869168,91.7343123541259,5.36748539459908,22.329068898829,2.7125228056363,0
"26","FRK",3165.04561990527,2914.02115571369,3799.59886417498,2317.42256345917,3893.15382614821,4607.29389046975,3918.53575099428,2823.83410138289
"27","MYB",722.272641475324,737.412954314456,690.53420005395,1033.42757878862,631.346894573437,671.343268990904,624.097034545899,772.92585464812
"28","TRIB2",24.0841443761596,33.7013674461813,27.2944203522908,36.4933790331588,192.82774944337,82.1563573182308,344.192177969043,147.092971931782
"29","RSAD2",670.898920678809,222.135821341941,526.151106426874,546.038532540073,878.219044768639,768.491924877708,1014.70431556147,124.759929825674
"30","PTPRG",519.608578129693,512.779572122848,259.095208909252,413.074437226274,888.376367051931,1723.01187740506,881.192726148891,992.028149125924
"31","CDHR1",102.80111364484,109.460662009404,109.698072856053,123.620243047961,84.7226125595898,109.128391667554,102.179647967669,58.9918128081298
"32","ADAMDEC1",1292.84964758834,2018.05807589545,1115.41253821388,390.087585211059,872.348930180354,1895.14601965323,344.534492763567,386.44117739247
